Drug_Name,Purpose,Indications,Warnings
tranexamic,,"1 INDICATIONS AND USAGE Tranexamic acid injection, USP is indicated in patients with hemophilia for short-term use (2 to 8 days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction. Tranexamic acid injection is an antifibrinolytic indicated in patients with hemophilia for short-term use (2 to 8 days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction. ( 1 )",
tranylcypromine,,"1 INDICATIONS AND USAGE Tranylcypromine tablets are indicated for the treatment of major depressive disorder (MDD) in adult patients who have not responded adequately to other antidepressants. Tranylcypromine tablets are not indicated for the initial treatment of MDD due to the potential for serious adverse reactions and drug interactions, and the need for dietary restrictions [see Contraindications (4) , Warnings and Precautions (5) , and Drug Interactions (7) ] . • Tranylcypromine tablets are a monoamine oxidase inhibitor (MAOI) indicated for the treatment of major depressive disorder (MDD) in adult patients who have not responded adequately to other antidepressants ( 1 ) • Tranylcypromine tablets are not indicated for the initial treatment of MDD due to the potential for serious adverse reactions and drug interactions, and the need for dietary restrictions ( 1 , 4 , 5 , 7 )",
trazodone,,1 INDICATIONS AND USAGE Trazodone is a selective serotonin reuptake inhibitor indicated for the treatment of major depressive disorder (MDD) ( 1 ). Trazodone hydrochloride tablets are indicated for the treatment of major depressive disorder (MDD) in adults.,
triamcinolone,,INDICATIONS & USAGE Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,
triamterene,,"INDICATIONS AND USAGE: This fixed combination drug is not indicated for the initial therapy of edema or hypertension except in individuals in whom the development of hypokalemia cannot be risked. Triamterene and hydrochlorothiazide is indicated for the treatment of hypertension or edema in patients who develop hypokalemia on hydrochlorothiazide alone. Triamterene and hydrochlorothiazide is also indicated for those patients who require a thiazide diuretic and in whom the development of hypokalemia cannot be risked (e.g., patients on concomitant digitalis preparations, or with a history of cardiac arrhythmias, etc.). Triamterene and hydrochlorothiazide may be used alone or in combination with other antihypertensive drugs, such as beta-blockers. Since triamterene and hydrochlorothiazide may enhance the actions of these drugs, dosage adjustments may be necessary. Usage in Pregnancy: The routine use of diuretics in an otherwise healthy woman is inappropriate and exposes mother and fetus to unnecessary hazard. Diuretics do not prevent development of toxemia of pregnancy, and there is no satisfactory evidence that they are useful in the treatment of developed toxemia. Edema during pregnancy may arise from pathological causes or from the physiologic and mechanical consequences of pregnancy. Thiazides are indicated in pregnancy when edema is due to pathologic causes, just as they are in the absence of pregnancy. Dependent edema in pregnancy, resulting from restriction of venous return by the expanded uterus, is properly treated through elevation of the lower extremities and use of support hose; use of diuretics to lower intravascular volume in this case is illogical and unnecessary. There is hypervolemia during normal pregnancy which is harmful to neither the fetus nor the mother (in the absence of cardiovascular disease), but which is associated with edema, including generalized edema, in the majority of pregnant women. If this edema produces discomfort, increased recumbency will often provide relief. In rare instances, this edema may cause extreme discomfort which is not relieved by rest. In these cases, a short course of diuretics may provide relief and may be appropriate.","WARNINGS: Hyperkalemia: Abnormal elevation of serum potassium levels (greater than or equal to 5.5 mEq/liter) can occur with all potassium-conserving diuretic combinations, including triamterene and hydrochlorothiazide. Hyperkalemia is more likely to occur in patients with renal impairment, diabetes (even without evidence of renal impairment), or elderly or severely ill patients. Since uncorrected hyperkalemia may be fatal, serum potassium levels must be monitored at frequent intervals especially in patients first receiving triamterene and hydrochlorothiazide, when dosages are changed or with any illness that may influence renal function. If hyperkalemia is suspected, (warning signs include paresthesias, muscular weakness, fatigue, flaccid paralysis of the extremities, bradycardia and shock) an electrocardiogram (ECG) should be obtained. However, it is important to monitor serum potassium levels because mild hyperkalemia may not be associated with ECG changes. If hyperkalemia is present, triamterene and hydrochlorothiazide should be discontinued immediately and a thiazide alone should be substituted. If the serum potassium exceeds 6.5 mEq/liter, more vigorous therapy is required. The clinical situation dictates the procedures to be employed. These include the intravenous administration of calcium chloride solution, sodium bicarbonate solution and/or the oral or parenteral administration of glucose with a rapid-acting insulin preparation. Cationic exchange resins such as sodium polystyrene sulfonate may be orally or rectally administered. Persistent hyperkalemia may require dialysis. The development of hyperkalemia associated with potassium-sparing diuretics is accentuated in the presence of renal impairment (see CONTRAINDICATIONS ). Patients with mild renal functional impairment should not receive this drug without frequent and continuing monitoring of serum electrolytes. Cumulative drug effects may be observed in patients with impaired renal function. The renal clearances of hydrochlorothiazide and the pharmacologically active metabolite of triamterene, the sulfate ester of hydroxytriamterene, have been shown to be reduced and the plasma levels increased following triamterene and hydrochlorothiazide administration to elderly patients and patients with impaired renal function. Hyperkalemia has been reported in diabetic patients with the use of potassium-conserving agents even in the absence of apparent renal impairment. Accordingly, triamterene and hydrochlorothiazide should be avoided in diabetic patients. If it is employed, serum electrolytes must be frequently monitored. Because of the potassium-sparing properties of angiotensin-converting enzyme (ACE) inhibitors, triamterene and hydrochlorothiazide should be used cautiously, if at all, with these agents (see PRECAUTIONS: Drug Interactions ). Metabolic or Respiratory Acidosis: Potassium-conserving therapy should also be avoided in severely ill patients in whom respiratory or metabolic acidosis may occur. Acidosis may be associated with rapid elevations in serum potassium levels. If triamterene and hydrochlorothiazide is employed, frequent evaluations of acid/base balance and serum electrolytes are necessary. Acute Myopia and Secondary Angle-Closure Glaucoma: Hydrochlorothiazide, a sulfonamide, can cause an idiosyncratic reaction, resulting in acute transient myopia and acute angle-closure glaucoma. Symptoms include acute onset of decreased visual acuity or ocular pain and typically occur within hours to weeks of drug initiation. Untreated acute angle-closure glaucoma can lead to permanent vision loss. The primary treatment is to discontinue hydrochlorothiazide as rapidly as possible. Prompt medical or surgical treatments may need to be considered if the intraocular pressure remains uncontrolled. Risk factors for developing acute angle-closure glaucoma may include a history of sulfonamide or penicillin allergy."
triazolam,,1 INDICATIONS AND USAGE Triazolam tablets are indicated for the short-term treatment of insomnia (generally 7 to 10 days) in adults. Triazolam tablets are a benzodiazepine indicated for the short-term treatment of insomnia (generally 7 to 10 days) in adults.,
triclosan,Purpose Antiseptic handwash,Uses for handwashing to decrease bacteria on the skin,"Warnings For external use only Do not use in eyes When using this product if in eyes, rinse promptly and thoroughly with water discontinue use if irritation and redness develop Stop use and ask a doctor if skin irritation or redness occurs for more than 72 hours Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
trifluoperazine,,"INDICATIONS AND USAGE For the management of schizophrenia. Trifluoperazine HCl is effective for the short-term treatment of generalized non-psychotic anxiety. However, trifluoperazine HCl is not the first drug to be used in therapy for most patients with non-psychotic anxiety because certain risks associated with its use are not shared by common alternative treatments (i.e., benzodiazepines). When used in the treatment of non-psychotic anxiety, trifluoperazine HCl should not be administered at doses of more than 6 mg per day or for longer than 12 weeks because the use of trifluoperazine HCl at higher doses or for longer intervals may cause persistent tardive dyskinesia that may prove irreversible (see WARNINGS ). The effectiveness of trifluoperazine HCl as a treatment for non-psychotic anxiety was established in a four-week clinical multicenter study of outpatients with generalized anxiety disorder (DSM-III). This evidence does not predict that trifluoperazine HCl will be useful in patients with other non-psychotic conditions in which anxiety, or signs that mimic anxiety, are found (i.e., physical illness, organic mental conditions, agitated depression, character pathologies, etc.). Trifluoperazine HCl has not been shown effective in the management of behavioral complications in patients with mental retardation.","WARNINGS Increased Mortality in Elderly Patients with Dementia-Related Psychosis Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Trifluoperazine hydrochloride is not approved for the treatment of patients with dementia-related psychosis (see BOXED WARNING ). Tardive Dyskinesia Tardive dyskinesia, a syndrome consisting of potentially irreversible, involuntary, dyskinetic movements, may develop in patients treated with neuroleptic (antipsychotic) drugs. Although the prevalence of the syndrome appears to be highest among the elderly, especially elderly women, it is impossible to rely upon prevalence estimates to predict, at the inception of neuroleptic treatment, which patients are likely to develop the syndrome. Whether neuroleptic drug products differ in their potential to cause tardive dyskinesia is unknown. Both the risk of developing the syndrome and the likelihood that it will become irreversible are believed to increase as the duration of treatment and the total cumulative dose of neuroleptic drugs administered to the patient increase. However, the syndrome can develop, although much less commonly, after relatively brief treatment periods at low doses. There is no known treatment for established cases of tardive dyskinesia, although the syndrome may remit, partially or completely, if neuroleptic treatment is withdrawn. Neuroleptic treatment itself, however, may suppress (or partially suppress) the signs and symptoms of the syndrome and thereby may possibly mask the underlying disease process. The effect that symptomatic suppression has upon the long-term course of the syndrome is unknown. Given these considerations, neuroleptics should be prescribed in a manner that is most likely to minimize the occurrence of tardive dyskinesia. Chronic neuroleptic treatment should generally be reserved for patients who suffer from a chronic illness that 1) is known to respond to neuroleptic drugs, and 2) for whom alternative, equally effective, but potentially less harmful treatments are not available or appropriate. In patients who do require chronic treatment, the smallest dose and the shortest duration of treatment producing a satisfactory clinical response should be sought. The need for continued treatment should be reassessed periodically. If signs and symptoms of tardive dyskinesia appear in a patient on neuroleptics, drug discontinuation should be considered. However, some patients may require treatment despite the presence of the syndrome. For further information about the description of tardive dyskinesia and its clinical detection, please refer to the sections on PRECAUTIONS and ADVERSE REACTIONS . Neuroleptic Malignant Syndrome (NMS) A potentially fatal symptom complex sometimes referred to as Neuroleptic Malignant Syndrome (NMS) has been reported in association with antipsychotic drugs. Clinical manifestations of NMS are hyperpyrexia, muscle rigidity, altered mental status and evidence of autonomic instability (irregular pulse or blood pressure, tachycardia, diaphoresis, and cardiac dysrhythmias). The diagnostic evaluation of patients with this syndrome is complicated. In arriving at a diagnosis, it is important to identify cases where the clinical presentation includes both serious medical illness (e.g., pneumonia, systemic infection, etc.) and untreated or inadequately treated extrapyramidal signs and symptoms (EPS). Other important considerations in the differential diagnosis include central anticholinergic toxicity, heat stroke, drug fever and primary central nervous system (CNS) pathology. The management of NMS should include 1) immediate discontinuation of antipsychotic drugs and other drugs not essential to concurrent therapy, 2) intensive symptomatic treatment and medical monitoring, and 3) treatment of any concomitant serious medical problems for which specific treatments are available. There is no general agreement about specific pharmacological treatment regimens for uncomplicated NMS. If a patient requires antipsychotic drug treatment after recovery from NMS, the potential reintroduction of drug therapy should be carefully considered. The patient should be carefully monitored, since recurrences of NMS have been reported. An encephalopathic syndrome (characterized by weakness, lethargy, fever, tremulousness and confusion, extrapyramidal symptoms, leukocytosis, elevated serum enzymes, BUN and FBS) has occurred in a few patients treated with lithium plus a neuroleptic. In some instances, the syndrome was followed by irreversible brain damage. Because of a possible causal relationship between these events and the concomitant administration of lithium and neuroleptics, patients receiving such combined therapy should be monitored closely for early evidence of neurologic toxicity and treatment discontinued promptly if such signs appear. This encephalopathic syndrome may be similar to or the same as neuroleptic malignant syndrome (NMS). Patients who have demonstrated a hypersensitivity reaction (e.g., blood dyscrasias, jaundice) with a phenothiazine should not be re-exposed to any phenothiazine, including trifluoperazine HCl, unless in the judgment of the physician, the potential benefits of treatment outweigh the possible hazard. Trifluoperazine HCl may impair mental and/or physical abilities, especially during the first few days of therapy. Therefore, caution patients about activities requiring alertness (e.g., operating vehicles or machinery). If agents such as sedatives, narcotics, anesthetics, tranquilizers, or alcohol are used either simultaneously or successively with the drug, the possibility of an undesirable additive depressant effect should be considered. Falls Trifluoperazine HCl may cause somnolence, postural hypotension, motor and sensory instability, which may lead to falls and, consequently, fractures or other injuries. For patients with diseases, conditions, or medications that could exacerbate these effects, complete fall risk assessments when initiating antipsychotic treatment and recurrently for patients on long-term antipsychotic therapy. Usage In Pregnancy Safety for the use of trifluoperazine HCl during pregnancy has not been established. Therefore, it is not recommended that the drug be given to pregnant patients except when, in the judgment of the physician, it is essential. The potential benefits should clearly outweigh possible hazards. There are reported instances of prolonged jaundice, extrapyramidal signs, hyperreflexia or hyporeflexia in newborn infants whose mothers received phenothiazines. Reproductive studies in rats given over 600 times the human dose showed an increased incidence of malformations above controls and reduced litter size and weight linked to maternal toxicity. These effects were not observed at half this dosage. No adverse effect on fetal development was observed in rabbits given 700 times the human dose nor in monkeys given 25 times the human dose. Non-teratogenic Effects Neonates exposed to antipsychotic drugs, during the third trimester of pregnancy are at risk for extrapyramidal and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates. These complications have varied in severity; while in some cases symptoms have been self-limited, in other cases neonates have required intensive care unit support and prolonged hospitalization. Trifluoperazine Hydrochloride should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus. Nursing Mothers There is evidence that phenothiazines are excreted in the breast milk of nursing mothers. Because of the potential for serious adverse reactions in nursing infants from trifluoperazine, a decision should be made whether to discontinue nursing or to discontinue the drug, taking into account the importance of the drug to the mother."
trihexyphenidyl,,"INDICATIONS AND USAGE Trihexyphenidyl is indicated as an adjunct in the treatment of all forms of parkinsonism (postencephalitic, arteriosclerotic, and idiopathic). It is often useful as adjuvant therapy when treating these forms of parkinsonism with levodopa. Additionally, it is indicated for the control of extrapyramidal disorders caused by central nervous system drugs such as the dibenzoxazepines, phenothiazines, thioxanthenes, and butyrophenones.","WARNINGS Patients to be treated with trihexyphenidyl should have a gonioscope evaluation prior to initiation of therapy and close monitoring of intraocular pressures. The use of anticholinergic drugs may precipitate angle closure with an increase in intraocular pressure. If blurring of vision occurs during therapy, the possibility of narrow angle glaucoma should be considered. Blindness has been reported due to aggravation of narrow angle glaucoma. (See CONTRAINDICATIONS and ADVERSE REACTIONS ). Trihexyphenidyl should be administered with caution in hot weather, especially when given concomitantly with other atropine-like drugs to the chronically ill, alcoholics, those who have central nervous system disease, or those who do manual labor in a hot environment. Anhidrosis may occur more readily when some disturbance of sweating already exists. If there is evidence of anhidrosis, the possibility of hyperthermia should be considered. Dosage should be decreased so that the ability to maintain body heat equilibrium via perspiration is not impaired. Severe anhidrosis and fatal hyperthermia have occurred with the use of anticholinergics under the conditions described above. Neuroleptic Malignant Syndrome A potentially fatal symptom complex sometimes referred to as Neuroleptic Malignant Syndrome (NMS) has been reported in association with dose reduction or discontinuation of trihexyphenidyl. Clinical manifestations of NMS are hyperpyrexia, muscle rigidity, altered mental status and evidence of autonomic instability (irregular pulse or blood pressure, tachycardia, diaphoresis and cardiac dysrhythmias). The diagnostic evaluation of patients with this syndrome is complicated. In arriving at a diagnosis, it is important to identify cases where the clinical presentation includes both serious medical illness (e.g., pneumonia, systemic infection, etc.) and untreated or inadequately treated extrapyramidal signs and symptoms (EPS). Other important considerations in the differential diagnosis include central anticholinergic toxicity, heat stroke, drug fever, and primary central nervous system (CNS) pathology."
trimethobenzamide,,"1 INDICATIONS AND USAGE Trimethobenzamide hydrochloride capsules is indicated in adults for the treatment of postoperative nausea and vomiting and for nausea associated with gastroenteritis. Limitation of Use: Trimethobenzamide hydrochloride capsules is not recommended for use in pediatric patients due to the risk of extrapyramidal signs and symptoms and other serious central nervous system (CNS) effects, and the risk of exacerbation of the underlying disease in pediatric patients with Reye's syndrome or other hepatic impairment. Trimethobenzamide hydrochloride capsules are an antiemetic indicated in adults for the treatment of postoperative nausea and vomiting and for nausea associated with gastroenteritis. ( 1 ) Limitation of Use: • Trimethobenzamide hydrochloride capsules are not recommended for use in pediatric patients due to the risk of extrapyramidal signs and symptoms and other serious central nervous system (CNS) effects and the risk of exacerbation of the underlying disease in pediatric patients with Reye's syndrome or other hepatic impairment. ( 1 , 8.4 )",
trimethoprim,,"INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of sulfamethoxazole and trimethoprim tablets, USP and other antibacterial drugs, sulfamethoxazole and trimethoprim tablets, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to empiric selection of therapy. Urinary Tract Infections For the treatment of urinary tract infections due to susceptible strains of the following organisms: Escherichia coli, Klebsiella species, Enterobacter species, Morganella morganii, Proteus mirabilis and Proteus vulgaris. It is recommended that initial episodes of uncomplicated urinary tract infections be treated with a single effective antibacterial agent rather than the combination. Acute Otitis Media For the treatment of acute otitis media in pediatric patients due to susceptible strains of Streptococcus pneumoniae or Haemophilus influenzae when in the judgment of the physician sulfamethoxazole and trimethoprim tablets offer some advantage over the use of other antimicrobial agents. To date, there are limited data on the safety of repeated use of sulfamethoxazole and trimethoprim tablets, USP in pediatric patients under two years of age. Sulfamethoxazole and trimethoprim tablets, USP are not indicated for prophylactic or prolonged administration in otitis media at any age. Acute Exacerbations of Chronic Bronchitis in Adults For the treatment of acute exacerbations of chronic bronchitis due to susceptible strains of Streptococcus pneumoniae or Haemophilus influenzae when a physician deems that sulfamethoxazole and trimethoprim tablets, USP could offer some advantage over the use of a single antimicrobial agent. Shigellosis For the treatment of enteritis caused by susceptible strains of Shigella flexneri and Shigella sonnei when antibacterial therapy is indicated. Pneumocystis jiroveci Pneumonia For the treatment of documented Pneumocystis jiroveci pneumonia and for prophylaxis against P. jiroveci pneumonia in individuals who are immunosuppressed and considered to be at an increased risk of developing P. jiroveci pneumonia. Traveler's Diarrhea in Adults For the treatment of traveler's diarrhea due to susceptible strains of enterotoxigenic E. coli.","WARNINGS Embryofetal Toxicity Some epidemiologic studies suggest that exposure to sulfamethoxazole and trimethoprim during pregnancy may be associated with an increased risk of congenital malformations, particularly neural tube defects, cardiovascular malformations, urinary tract defects, oral clefts, and club foot. If sulfamethoxazole and trimethoprim is used during pregnancy, or if the patient becomes pregnant while taking this drug, the patient should be advised of the potential hazards to the fetus. Hypersensitivity and Other Fatal Reactions Fatalities associated with the administration of sulfonamides, although rare, have occurred due to severe reactions, including Stevens-Johnson syndrome, toxic epidermal necrolysis, fulminant hepatic necrosis, agranulocytosis, aplastic anemia and other blood dyscrasias. Sulfonamides, including sulfonamide-containing products such as sulfamethoxazole and trimethoprim, should be discontinued at the first appearance of skin rash or any sign of adverse reaction. In rare instances, a skin rash may be followed by a more severe reaction, such as Stevens-Johnson syndrome, toxic epidermal necrolysis, hepatic necrosis, and serious blood disorders (see PRECAUTIONS ). Clinical signs, such as rash, sore throat, fever, arthralgia, pallor, purpura or jaundice may be early indications of serious reactions. Cough, shortness of breath, and pulmonary infiltrates are hypersensitivity reactions of the respiratory tract that have been reported in association with sulfonamide treatment. Thrombocytopenia Sulfamethoxazole and trimethoprim-induced thrombocytopenia may be an immune-mediated disorder. Severe cases of thrombocytopenia that are fatal or life threatening have been reported. Thrombocytopenia usually resolves within a week upon discontinuation of sulfamethoxazole and trimethoprim. Streptococcal Infections and Rheumatic Fever The sulfonamides should not be used for treatment of group A β-hemolytic streptococcal infections. In an established infection, they will not eradicate the streptococcus and, therefore, will not prevent sequelae such as rheumatic fever. Clostridium Difficile Associated Diarrhea Clostridium difficile associated diarrhea (CDAD) has been reported with use of nearly all antibacterial agents, including sulfamethoxazole and trimethoprim, and may range in severity from mild diarrhea to fatal colitis. Treatment with antibacterial agents alters the normal flora of the colon leading to overgrowth of C. difficile . C. difficile produces toxins A and B which contribute to the development of CDAD. Hypertoxin producing strains of C. difficile cause increased morbidity and mortality, as these infections can be refractory to antimicrobial therapy and may require colectomy. CDAD must be considered in all patients who present with diarrhea following antibiotic use. Careful medical history is necessary since CDAD has been reported to occur over two months after the administration of antibacterial agents. If CDAD is suspected or confirmed, ongoing antibiotic use not directed against C. difficile may need to be discontinued. Appropriate fluid and electrolyte management, protein supplementation, antibiotic treatment of C. difficile, and surgical evaluation should be instituted as clinically indicated. Adjunctive Treatment with Leucovorin for Pneumocystis jiroveci Pneumonia Treatment failure and excess mortality were observed when trimethoprim-sulfamethoxazole was used concomitantly with leucovorin for the treatment of HIV positive patients with Pneumocystis jiroveci pneumonia in a randomized placebo controlled trial. 6 Co-administration of trimethoprim-sulfamethoxazole and leucovorin during treatment of Pneumocystis jiroveci pneumonia should be avoided."
trimipramine,,"INDICATIONS AND USAGE Trimipramine Maleate Capsules are indicated for the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than other depressive states. In studies with neurotic outpatients, the drug appeared to be equivalent to amitriptyline in the less-depressed patients but somewhat less effective than amitriptyline in the more severely depressed patients. In hospitalized depressed patients, trimipramine and imipramine were equally effective in relieving depression.","WARNINGS Clinical Worsening and Suicide Risk Patients with major depressive disorder (MDD), both adult and pediatric, may experience worsening of their depression and/or the emergence of suicidal ideation and behavior (suicidality) or unusual changes in behavior, whether or not they are taking antidepressant medications, and this risk may persist until significant remission occurs. Suicide is a known risk of depression and certain other psychiatric disorders, and these disorders themselves are the strongest predictors of suicide. There has been a long-standing concern, however, that antidepressants may have a role in inducing worsening of depression and the emergence of suicidality in certain patients during the early phases of treatment. Pooled analyses of short-term placebo-controlled trials of antidepressant drugs (SSRIs and others) showed that these drugs increase the risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults (aged 18 to 24) with major depressive disorder (MDD) and other psychiatric disorders. Short-term studies did not show an increase in the risk of suicidality with antidepressants compared to placebo in adults beyond age 24; there was a reduction with antidepressants compared to placebo in adults aged 65 and older. The pooled analysis of placebo-controlled trials in children and adolescents with MDD, obsessive compulsive disorder (OCD) or other psychiatric disorders including a total of 24 short-term trials of 9 antidepressant drugs in over 4400 patients. The pooled analyses of placebo-controlled trials in adults with MDD or other psychiatric disorders included a total of 295 short-term trials (median duration of 2 months) of 11 antidepressant drugs in over 77,000 patients. There was considerable variation in risk of suicidality among drugs, but a tendency toward an increase in the younger patients for almost all drugs studied. There were differences in absolute risk of suicidality across the different indications, with the highest incidence in MDD. The risk differences (drug vs placebo), however, were relatively stable with age strada and across indications. These risk differences (drug-placebo difference in the number of cases of suicidality per 1000 patients treated) are provided in Table 1. Table 1 Age Range Drug-Placebo Difference in Number of Cases of Suicidality per 1000 Patients Treated Increases Compared to Placebo <18 14 additional cases 18 to 24 5 additional cases Decreases Compared to Placebo 25 to 64 1 fewer case ≥65 6 fewer cases No suicides occurred in any of the pediatric trials. There were suicides in the adult trials, but the number was not sufficient to reach any conclusion about drug effect on suicide. It is unknown whether the suicidality risk extends to longer-term use, i.e., beyond several months. However, there is substantial evidence from placebo-controlled maintenance trials in adults with depression that the use of antidepressants can delay the recurrence of depression. All patients being treated with antidepressants for any indication should be monitored appropriately and observed closely for clinical worsening, suicidality, and unusual changes in behavior, especially during the initial few months of a course of drug therapy, or at times of dose changes, either increases or decreases. The following symptoms, anxiety, agitation, panic attacks, insomnia, irritability, hostility, aggressiveness, impulsivity, akathisia (psychomotor restlessness), hypomania, and mania, have been reported in adult and pediatric patients being treated with antidepressants for major depressive disorder as well as for other indications, both psychiatric and nonpsychiatric. Although a causal link between the emergence of such symptoms and either the worsening of depression and/or the emergence of suicidal impulses has not been established, there is concern that such symptoms may represent precursors to emerging suicidality. Consideration should be given to changing the therapeutic regimen, including possibly discontinuing the medication, in patients whose depression is persistently worse, or who are experiencing emergent suicidality or symptoms that might be precursors to worsening depression or suicidality, especially if these symptoms are severe, abrupt in onset, or were not part of the patient’s presenting symptoms. Families and caregivers of patients being treated with antidepressants for major depressive disorder or other indications, both psychiatric and non-psychiatric, should be alerted about the need to monitor patients for the emergence of agitation, irritability, unusual changes in behavior, and the other symptoms described above, as well as the emergence of suicidality, and to report such symptoms immediately to health care providers. Such monitoring should include daily observation by families and caregivers.Prescriptions for trimipramine maleate should be written for the smallest quantity of capsules consistent with good patient management, in order to reduce the risk of overdose. Screening Patients for Bipolar Disorder: A major depressive episode may be the initial presentation of bipolar disorder. It is generally believed (though not established in controlled trials) that treating such an episode with an antidepressant alone may increase the likelihood of precipitation of a mixed/manic episode in patients at risk for bipolar disorder. Whether any of the symptoms described above represent such a conversion is unknown. However, prior to initiating treatment with an antidepressant, patients with depression symptoms should be adequately screened to determine if they are at risk for bipolar disorder; such screening should include a detailed psychiatric history, including a family history of suicide, bipolar disorder, and depression. It should be noted that trimipramine maleate is not approved for use in treating bipolar depression. Serotonin Syndrome The development of a potentially life-threatening serotonin syndrome has been reported with SNRIs and SSRIs, including trimipramine maleate, alone, but particularly with concomitant use of other serotonergic drugs (including triptans, tricyclic antidepressants, fentanyl, lithium, tramadol, tryptophan, buspirone, and St. John’s Wort) and with drugs that impair metabolism of serotonin (in particular, MAOIs, both those intended to treat psychiatric disorders and also others, such as linezolid and intravenous methylene blue). Serotonin syndrome symptoms may include mental status changes (e.g., agitation, hallucinations, delirium, and coma), autonomic instability (e.g., tachycardia, labile blood pressure, dizziness, diaphoresis, flushing, hyperthermia), neuromuscular symptoms (e.g., tremor, rigidity, myoclonus hyperreflexia, incoordination), seizures, and/or gastrointestinal symptoms (e.g, nausea, vomiting, diarrhea). Patients should be monitored for the emergence of serotonin syndrome. The concomitant use of trimipramine maleate with MAOIs intended to treat psychiatric disorders is contraindicated. Trimipramine maleate should also not be started in a patient who is being treated with MAOIs such as linezolid or intravenous methylene blue. All reports with methylene blue that provided information on the route of administration involved intravenous administration in the dose range of 1 mg/kg to 8 mg/kg. No reports involved the administration of methylene blue by other routes (such as oral tablets or local tissue injection) or at lower doses. There may be circumstances when it is necessary to initiate treatment with an MAOI such as linezolid or intravenous methylene blue in a patient taking trimipramine maleate. Trimipramine maleate should be discontinued before initiating treatment with the MAOI (see CONTRAINDICATIONS and DOSAGE AND ADMINISTRATION ). If concomitant use of trimipramine maleate with other serotonergic drugs, including triptans, tricyclic antidepressants, fentanyl, lithium, tramadol, buspirone, tryptophan, and St. John’s Wort is clinically warranted, patients should be made aware of a potential increased risk for serotonin syndrome, particularly during treatment initiation and dose increases. Treatment with trimipramine maleate and any concomitant serotonergic agents should be discontinued immediately if the above events occur and supportive symptomatic treatment should be initiated. Angle-Closure Glaucoma The pupillary dilation that occurs following use of many antidepressant drugs including trimipramine maleate may trigger an angle closure attack in a patient with anatomically narrow angles who does not have a patent iridectomy. General Consideration for Use Extreme caution should be used when this drug is given to patients with any evidence of cardiovascular disease because of the possibility of conduction defects, arrhythmias, myocardial infarction, strokes, and tachycardia. Caution is advised in patients with history of urinary retention because of the drug’s anticholinergic properties; hyperthyroid patients or those on thyroid medication because of the possibility of cardiovascular toxicity; patients with a history of seizure disorder, because this drug has been shown to lower the seizure threshold; patients receiving guanethidine or similar agents, since trimipramine maleate may block the pharmacologic effects of these drugs. Since the drug may impair the mental and/or physical abilities required for the performance of potentially hazardous tasks, such as operating an automobile or machinery, the patient should be cautioned accordingly."
tropicamide,,INDICATIONS AND USAGE For mydriasis and cycloplegia for diagnostic procedures.,WARNINGS For topical ophthalmic use only. Not for injection. This preparation may cause CNS disturbances which may be dangerous in pediatric patients. The possibility of psychotic reactions and behavioral disturbances due to hypersensitivity to anticholinergic drugs should be considered. Mydriatics may produce a transient elevation of intraocular pressure. Remove contact lenses before using.
trospium,,"1 INDICATIONS & USAGE Trospium chloride tablets is a muscarinic antagonist indicated for the treatment of overactive bladder (OAB) with symptoms of urge urinary incontinence, urgency, and urinary frequency. Trospium chloride tablets is a muscarinic antagonist indicated for the treatment of overactive bladder (OAB) with symptoms of urge urinary incontinence, urgency, and urinary frequency.",
valsartan,,"1 INDICATIONS AND USAGE ENTRESTO is a combination of sacubitril, a neprilisin inhibitor, and valsartan, an angiotensin II receptor blocker, and is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adult patients with chronic heart failure. Benefits are most clearly evident in patients with left ventricular ejection fraction (LVEF) below normal. ( 1.1 ) for the treatment of symptomatic heart failure with systemic left ventricular systolic dysfunction in pediatric patients aged one year and older. ENTRESTO reduces NT-proBNP and is expected to improve cardiovascular outcomes. ( 1.2 ) 1.1 Adult Heart Failure ENTRESTO is indicated to reduce the risk of cardiovascular death and hospitalization for heart failure in adult patients with chronic heart failure. Benefits are most clearly evident in patients with left ventricular ejection fraction (LVEF) below normal. LVEF is a variable measure, so use clinical judgment in deciding whom to treat [see Clinical Studies (14.1)] . 1.2 Pediatric Heart Failure ENTRESTO is indicated for the treatment of symptomatic heart failure with systemic left ventricular systolic dysfunction in pediatric patients aged one year and older. ENTRESTO reduces NT-proBNP and is expected to improve cardiovascular outcomes.",
